Epoch,Phase,Iteration,Accuracy,Loss
168,Val,1672,nan,nan
168,Training,1680,nan,nan
168,Val,1680,nan,nan
169,Training,1688,nan,nan
169,Val,1688,nan,nan
170,Training,1696,nan,nan
170,Val,1696,nan,nan
171,Training,1704,nan,nan
171,Val,1704,nan,nan
172,Training,1712,nan,nan
172,Val,1712,nan,nan
172,Training,1720,nan,nan
172,Val,1720,nan,nan
173,Training,1728,nan,nan
173,Val,1728,nan,nan
174,Training,1736,nan,nan
174,Val,1736,nan,nan
175,Training,1744,nan,nan
175,Val,1744,nan,nan
176,Training,1752,nan,nan
176,Val,1752,nan,nan
176,Training,1760,nan,nan
176,Val,1760,nan,nan
177,Training,1768,nan,nan
177,Val,1768,nan,nan
178,Training,1776,nan,nan
178,Val,1776,nan,nan
179,Training,1784,nan,nan
179,Val,1784,nan,nan
180,Training,1792,nan,nan
180,Val,1792,nan,nan
180,Training,1800,nan,nan
180,Val,1800,nan,nan
181,Training,1808,nan,nan
181,Val,1808,nan,nan
182,Training,1816,nan,nan
182,Val,1816,nan,nan
183,Training,1824,nan,nan
183,Val,1824,nan,nan
184,Training,1832,nan,nan
184,Val,1832,nan,nan
184,Training,1840,nan,nan
184,Val,1840,nan,nan
185,Training,1848,nan,nan
185,Val,1848,nan,nan
186,Training,1856,nan,nan
186,Val,1856,nan,nan
187,Training,1864,nan,nan
187,Val,1864,nan,nan
188,Training,1872,nan,nan
188,Val,1872,nan,nan
188,Training,1880,nan,nan
188,Val,1880,nan,nan
189,Training,1888,nan,nan
189,Val,1888,nan,nan
190,Training,1896,nan,nan
190,Val,1896,nan,nan
191,Training,1904,nan,nan
191,Val,1904,nan,nan
192,Training,1912,nan,nan
192,Val,1912,nan,nan
192,Training,1920,nan,nan
192,Val,1920,nan,nan
193,Training,1928,nan,nan
193,Val,1928,nan,nan
194,Training,1936,nan,nan
194,Val,1936,nan,nan
195,Training,1944,nan,nan
195,Val,1944,nan,nan
196,Training,1952,nan,nan
196,Val,1952,nan,nan
196,Training,1960,nan,nan
196,Val,1960,nan,nan
197,Training,1968,nan,nan
197,Val,1968,nan,nan
198,Training,1976,nan,nan
198,Val,1976,nan,nan
199,Training,1984,nan,nan
199,Val,1984,nan,nan
200,Training,1992,nan,nan
200,Val,1992,nan,nan
200,Training,2000,nan,nan
200,Val,2000,nan,nan
201,Training,2008,nan,nan
201,Val,2008,nan,nan
202,Training,2016,nan,nan
202,Val,2016,nan,nan
203,Training,2024,nan,nan
203,Val,2024,nan,nan
204,Training,2032,nan,nan
204,Val,2032,nan,nan
204,Training,2040,nan,nan
204,Val,2040,nan,nan
205,Training,2048,nan,nan
205,Val,2048,nan,nan
206,Training,2056,nan,nan
206,Val,2056,nan,nan
207,Training,2064,nan,nan
207,Val,2064,nan,nan
208,Training,2072,nan,nan
208,Val,2072,nan,nan
208,Training,2080,nan,nan
208,Val,2080,nan,nan
209,Training,2088,nan,nan
209,Val,2088,nan,nan
210,Training,2096,nan,nan
210,Val,2096,nan,nan
211,Training,2104,nan,nan
211,Val,2104,nan,nan
212,Training,2112,nan,nan
212,Val,2112,nan,nan
212,Training,2120,nan,nan
212,Val,2120,nan,nan
213,Training,2128,nan,nan
213,Val,2128,nan,nan
214,Training,2136,nan,nan
214,Val,2136,nan,nan
215,Training,2144,nan,nan
215,Val,2144,nan,nan
216,Training,2152,nan,nan
216,Val,2152,nan,nan
216,Training,2160,nan,nan
216,Val,2160,nan,nan
217,Training,2168,nan,nan
217,Val,2168,nan,nan
218,Training,2176,nan,nan
218,Val,2176,nan,nan
219,Training,2184,nan,nan
219,Val,2184,nan,nan
220,Training,2192,nan,nan
220,Val,2192,nan,nan
220,Training,2200,nan,nan
220,Val,2200,nan,nan
221,Training,2208,nan,nan
221,Val,2208,nan,nan
222,Training,2216,nan,nan
222,Val,2216,nan,nan
223,Training,2224,nan,nan
223,Val,2224,nan,nan
224,Training,2232,nan,nan
224,Val,2232,nan,nan
224,Training,2240,nan,nan
224,Val,2240,nan,nan
225,Training,2248,nan,nan
225,Val,2248,nan,nan
226,Training,2256,nan,nan
226,Val,2256,nan,nan
227,Training,2264,nan,nan
227,Val,2264,nan,nan
228,Training,2272,nan,nan
228,Val,2272,nan,nan
228,Training,2280,nan,nan
228,Val,2280,nan,nan
229,Training,2288,nan,nan
229,Val,2288,nan,nan
230,Training,2296,nan,nan
230,Val,2296,nan,nan
231,Training,2304,nan,nan
231,Val,2304,nan,nan
232,Training,2312,nan,nan
232,Val,2312,nan,nan
